domain,status,protocol,reason
al-advertising-diet-store.com,unreachable,,HTTPS: Connection error: Cannot connect to host al-advertising-diet-store.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host al-advertising-diet-store.com:80 ssl:False [getaddrinfo failed]
artworkbydoyle.com,unreachable,,HTTPS: Timeout | HTTP: Connection error: Cannot connect to host artworkbydoyle.com:80 ssl:False [getaddrinfo failed]
bc-hinger.com,unreachable,,HTTPS: Connection error: Cannot connect to host bc-hinger.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host bc-hinger.com:80 ssl:False [getaddrinfo failed]
beautyblueprintllc.com,unreachable,,HTTPS: Connection error: Cannot connect to host beautyblueprintllc.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host beautyblueprintllc.com:80 ssl:False [getaddrinfo failed]
reveportraits.com,unreachable,,HTTPS: Connection error: Cannot connect to host reveportraits.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host reveportraits.com:80 ssl:False [getaddrinfo failed]
rustyskate.com,unreachable,,HTTPS: HTTP 409 | HTTP: HTTP 409
feltgoodmusic.com,unreachable,,HTTPS: Connection error: Cannot connect to host feltgoodmusic.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host feltgoodmusic.com:80 ssl:False [getaddrinfo failed]
lionsteelstructuresco.com,unreachable,,HTTPS: Connection error: Cannot connect to host lionsteelstructuresco.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host lionsteelstructuresco.com:80 ssl:False [getaddrinfo failed]
royaltycleaningva.co,unreachable,,HTTPS: Connection error: Cannot connect to host royaltycleaningva.co:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host royaltycleaningva.co:80 ssl:False [getaddrinfo failed]
childcarecompany.org,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
ageanabrett.com,unreachable,,HTTPS: Connection error: Cannot connect to host ageanabrett.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host ageanabrett.com:80 ssl:False [getaddrinfo failed]
crossroadsrvpk.com,unreachable,,HTTPS: Connection error: Cannot connect to host crossroadsrvpk.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host crossroadsrvpk.com:80 ssl:False [getaddrinfo failed]
